iter	Passed	Remaining
0	0	67
1	1	61
2	1	59
3	2	55
4	2	54
5	3	53
6	4	53
7	4	52
8	5	51
9	5	51
10	6	50
11	6	50
12	7	49
13	7	48
14	8	48
15	9	47
16	9	46
17	10	46
18	10	45
19	11	45
20	11	44
21	12	44
22	13	43
23	13	43
24	14	42
25	14	41
26	15	41
27	15	40
28	16	40
29	16	39
30	17	39
31	18	38
32	18	37
33	19	37
34	19	36
35	20	36
36	20	35
37	21	35
38	22	34
39	22	33
40	23	33
41	23	32
42	24	31
43	24	31
44	25	30
45	25	30
46	26	30
47	27	29
48	28	29
49	28	28
50	29	28
51	30	27
52	30	27
53	31	26
54	31	25
55	32	25
56	32	24
57	33	24
58	33	23
59	34	23
60	35	22
61	35	21
62	36	21
63	36	20
64	37	20
65	37	19
66	38	18
67	39	18
68	39	17
69	40	17
70	40	16
71	41	16
72	41	15
73	42	14
74	43	14
75	43	13
76	44	13
77	44	12
78	45	12
79	45	11
80	46	10
81	47	10
82	47	9
83	48	9
84	48	8
85	49	8
86	49	7
87	50	6
88	50	6
89	51	5
90	52	5
91	52	4
92	53	4
93	54	3
94	54	2
95	55	2
96	55	1
97	56	1
98	57	0
99	57	0
